epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.8645,1.25872,3.43554,1.26891,0.83289,0.0427,0.16153,0.11009,1.07136,3.40857,1.07465,0.000364547,0.000364547,0.000364547
2,180.031,1.36083,2.59542,1.35791,0.52653,0.32912,0.35582,0.22647,1.30461,2.49249,1.2051,0.000710629,0.000710629,0.000710629
3,330.859,1.38663,2.21997,1.3511,0.38496,0.36344,0.34632,0.24149,1.24727,2.25361,1.16799,0.00103227,0.00103227,0.00103227
4,454.121,1.32788,2.10338,1.30869,0.40535,0.54099,0.42995,0.29846,1.1793,2.44394,1.15743,0.00100101,0.00100101,0.00100101
5,598.157,1.31494,2.04036,1.32179,0.53427,0.4898,0.46073,0.30689,1.18084,2.19253,1.17459,0.000964348,0.000964348,0.000964348
6,736.351,1.36889,1.97475,1.35081,0.63755,0.64994,0.62927,0.4284,1.12236,2.03222,1.14573,0.000927685,0.000927685,0.000927685
7,877.468,1.28948,1.90073,1.30824,0.60785,0.52613,0.5725,0.37839,1.1842,2.0195,1.16035,0.000891022,0.000891022,0.000891022
8,1032.82,1.21939,1.71137,1.24421,0.66984,0.43829,0.53003,0.38601,1.04883,1.74972,1.09969,0.000854359,0.000854359,0.000854359
9,1154.22,1.21629,1.68667,1.25193,0.63843,0.5941,0.61232,0.43495,1.14333,1.90071,1.14548,0.000817696,0.000817696,0.000817696
10,1274.05,1.23118,1.68084,1.25576,0.75528,0.4779,0.54432,0.36852,1.0526,1.83914,1.1101,0.000781033,0.000781033,0.000781033
11,1399.43,1.14139,1.58306,1.22243,0.65699,0.64231,0.63327,0.46945,1.01985,1.56973,1.09006,0.00074437,0.00074437,0.00074437
12,1518.24,1.1929,1.5701,1.23342,0.81044,0.59809,0.72142,0.53059,1.0118,1.46416,1.06969,0.000707707,0.000707707,0.000707707
13,1688.82,1.19341,1.57763,1.26425,0.61545,0.71825,0.68237,0.50257,0.98922,1.53443,1.0664,0.000671044,0.000671044,0.000671044
14,1863.46,1.0907,1.4157,1.1756,0.73789,0.59722,0.69991,0.51668,0.97543,1.44531,1.07314,0.000634381,0.000634381,0.000634381
15,2005.62,1.10724,1.38188,1.19623,0.728,0.66644,0.70251,0.5424,0.97965,1.39989,1.07661,0.000597718,0.000597718,0.000597718
16,2103.16,1.10537,1.4062,1.19329,0.74819,0.57499,0.65693,0.50395,0.96766,1.45267,1.06746,0.000561055,0.000561055,0.000561055
17,2180.7,0.98288,1.24069,1.12783,0.73979,0.6688,0.72118,0.56229,0.9325,1.5177,1.05926,0.000524392,0.000524392,0.000524392
18,2257.85,1.08126,1.31603,1.18659,0.7368,0.73729,0.76942,0.59291,0.91785,1.314,1.03655,0.000487729,0.000487729,0.000487729
19,2356.31,0.99406,1.27881,1.14682,0.82049,0.5835,0.72333,0.56602,0.93088,1.32929,1.0447,0.000451066,0.000451066,0.000451066
20,2437.59,0.96729,1.1963,1.12224,0.79054,0.65844,0.71211,0.56708,0.93196,1.30379,1.04711,0.000414403,0.000414403,0.000414403
21,2512.86,0.87709,1.20088,1.0772,0.85141,0.71127,0.78712,0.62672,0.89002,1.33291,1.02043,0.00037774,0.00037774,0.00037774
22,2588.46,0.85076,1.13037,1.04662,0.77361,0.76263,0.79112,0.63195,0.89084,1.24927,1.03299,0.000341077,0.000341077,0.000341077
23,2660.28,0.80749,1.07615,1.04464,0.86988,0.71579,0.78496,0.63149,0.90676,1.35613,1.04795,0.000304414,0.000304414,0.000304414
24,2732.51,0.82287,1.04111,1.06195,0.84526,0.74221,0.79626,0.64252,0.87922,1.26662,1.03174,0.000267751,0.000267751,0.000267751
25,2804.22,0.79804,0.99828,1.00713,0.85007,0.7423,0.79031,0.6335,0.89607,1.25279,1.0356,0.000231088,0.000231088,0.000231088
26,2875.74,0.78401,0.95504,1.02767,0.87817,0.71543,0.79138,0.62825,0.85949,1.26003,1.02047,0.000194425,0.000194425,0.000194425
27,2963.12,0.7839,0.9527,1.01839,0.83582,0.73105,0.79576,0.61925,0.86663,1.18553,1.01993,0.000157762,0.000157762,0.000157762
28,3087.93,0.75471,0.93938,0.98924,0.85054,0.73058,0.79066,0.6173,0.87135,1.17653,1.0257,0.000121099,0.000121099,0.000121099
29,3197.08,0.73706,0.92451,0.99422,0.77733,0.75476,0.78881,0.62281,0.85729,1.16309,1.01867,8.4436e-05,8.4436e-05,8.4436e-05
30,3279.58,0.71165,0.86139,0.98323,0.78855,0.75358,0.79354,0.63806,0.85791,1.15777,1.01972,4.7773e-05,4.7773e-05,4.7773e-05
